,Book_Name,Author_Name,Copies_sold in Millions,Published Date,Original language
90,Adventures of Huckleberry Finn,Mark Twain,20,1885,English
91,"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,20,1982,English
92,Pride and Prejudice,Jane Austen,20,1813,English
93,Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,20,1950,Norwegian
94,The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,20,1923,Czech
95,Where the Wild Things Are,Maurice Sendak,20,1963,English
96,The Power of Positive Thinking,Norman Vincent Peale,20,1952,English
97,The Secret,Rhonda Byrne,20,2006,English
98,Fear of Flying,Erica Jong,20,1973,English
99,Dune,Frank Herbert,20,1965,English
100,Charlie and the Chocolate Factory,Roald Dahl,20,1964,English
101,The Naked Ape,Desmond Morris,20,1968,English
